Id,Gameweek,Home,Away,HomeScored,AwayScored
1,1,Burnley,ManCity,0,3
2,1,Arsenal,NottmForest,2,1
3,1,Bournemouth,WestHam,1,1
4,1,Brighton,Luton,4,1
5,1,Everton,Fulham,0,1
7,1,SheffieldUtd,CrystalPalace,0,1
6,1,Newcastle,AstonVilla,5,1
8,1,Brentford,Spurs,2,2
9,1,Chelsea,Liverpool,1,1
10,1,ManUtd,Wolves,1,0
17,2,NottmForest,SheffieldUtd,2,1
13,2,Fulham,Brentford,0,3
14,2,Liverpool,Bournemouth,3,1
20,2,Wolves,Brighton,1,4
18,2,Spurs,ManUtd,2,0
16,2,ManCity,Newcastle,1,0
11,2,AstonVilla,Everton,4,0
19,2,WestHam,Chelsea,3,1
12,2,CrystalPalace,Arsenal,0,1
26,3,Chelsea,Luton,3,0
22,3,Bournemouth,Spurs,0,2
21,3,Arsenal,Fulham,2,2
23,3,Brentford,CrystalPalace,1,1
27,3,Everton,Wolves,0,1
28,3,ManUtd,NottmForest,3,2
24,3,Brighton,WestHam,1,3
25,3,Burnley,AstonVilla,1,3
30,3,SheffieldUtd,ManCity,1,2
29,3,Newcastle,Liverpool,1,2
38,4,Luton,WestHam,1,2
40,4,SheffieldUtd,Everton,2,2
32,4,Brentford,Bournemouth,2,2
34,4,Burnley,Spurs,2,5
35,4,Chelsea,NottmForest,0,1
39,4,ManCity,Fulham,5,1
33,4,Brighton,Newcastle,3,1
36,4,CrystalPalace,Wolves,3,2
37,4,Liverpool,AstonVilla,3,0
31,4,Arsenal,ManUtd,3,1
50,5,Wolves,Liverpool,1,3
41,5,AstonVilla,CrystalPalace,3,1
44,5,Fulham,Luton,1,0
45,5,ManUtd,Brighton,1,3
48,5,Spurs,SheffieldUtd,2,1
49,5,WestHam,ManCity,1,3
46,5,Newcastle,Brentford,1,0
42,5,Bournemouth,Chelsea,0,0
43,5,Everton,Arsenal,0,1
47,5,NottmForest,Burnley,1,1
56,6,CrystalPalace,Fulham,0,0
58,6,Luton,Wolves,1,1
59,6,ManCity,NottmForest,2,0
52,6,Brentford,Everton,1,3
54,6,Burnley,ManUtd,0,1
51,6,Arsenal,Spurs,2,2
53,6,Brighton,Bournemouth,3,1
55,6,Chelsea,AstonVilla,0,1
57,6,Liverpool,WestHam,3,1
60,6,SheffieldUtd,Newcastle,0,8
61,7,AstonVilla,Brighton,6,1
62,7,Bournemouth,Arsenal,0,4
63,7,Everton,Luton,1,2
65,7,ManUtd,CrystalPalace,0,1
66,7,Newcastle,Burnley,2,0
69,7,WestHam,SheffieldUtd,2,0
70,7,Wolves,ManCity,2,1
68,7,Spurs,Liverpool,2,1
67,7,NottmForest,Brentford,1,1
64,7,Fulham,Chelsea,0,2
15,7,Luton,Burnley,1,2
77,8,Luton,Spurs,0,1
73,8,Burnley,Chelsea,1,4
75,8,Everton,Bournemouth,3,0
76,8,Fulham,SheffieldUtd,3,1
78,8,ManUtd,Brentford,2,1
74,8,CrystalPalace,NottmForest,0,0
72,8,Brighton,Liverpool,2,2
79,8,WestHam,Newcastle,2,2
80,8,Wolves,AstonVilla,1,1
71,8,Arsenal,ManCity,1,0
