Id,Name,Team,Position,Price,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive,ActualPoints
20,Saliba,Arsenal,Defender,0,22,450,0,1,0.04,0.09,2,4,4.03,0,2,109,22,450,1,0.04,0.09,2,4,4.03,0,2,109,Everton,2,9,0,0,6
20,Saliba,Arsenal,Defender,0,23,540,0,1,0.04,0.09999999999999999,2,6,5.53,0,2,120,18,450,0,0.04,0.06999999999999999,2,5,4.3500000000000005,0,2,98,Spurs,13,5,0,0,1
20,Saliba,Arsenal,Defender,0,29,630,0,1,0.04,0.09999999999999999,3,6,6.220000000000001,0,2,145,16,450,0,0.04,0.05999999999999999,2,5,3.980000000000001,0,0,94,Bournemouth,3,11,0,0,6
20,Saliba,Arsenal,Defender,0,36,720,0,1,0.04,0.10999999999999999,4,6,6.7700000000000005,0,3,171,22,450,0,0,0.039999999999999994,3,3,4.000000000000001,0,1,106,ManCity,11,5,0,0,7
20,Saliba,Arsenal,Defender,0,37,810,0,1,0.04,0.11999999999999998,4,8,8.13,0,3,185,21,450,0,0,0.039999999999999994,3,4,4.400000000000001,0,1,103,Chelsea,8,4,0,0,1
20,Saliba,Arsenal,Defender,0,44,900,0,1,0.04,0.42,5,8,8.16,0,4,212,22,450,0,0,0.32999999999999996,3,4,4.130000000000002,0,2,103,SheffieldUtd,2,20,0,0,7
20,Saliba,Arsenal,Defender,0,46,990,0,1,0.06,0.43,5,9,9.25,0,4,223,23,450,0,0.02,0.32999999999999996,3,3,3.7200000000000015,0,2,103,Newcastle,11,4,0,0,2
20,Saliba,Arsenal,Defender,0,55,1080,1,1,0.7,0.45999999999999996,5,10,9.55,0,5,250,26,450,0,0.66,0.36,2,4,3.3300000000000014,0,3,105,Burnley,3,14,0,0,9
20,Saliba,Arsenal,Defender,0,61,1170,1,1,0.71,0.49,6,10,10.66,0,5,272,25,450,0,0.67,0.38,2,4,3.8900000000000015,0,2,101,Brentford,8,6,0,0,6
20,Saliba,Arsenal,Defender,0,62,1260,1,1,0.71,0.5,6,11,11.370000000000001,0,5,280,25,450,0,0.67,0.38,2,3,3.240000000000001,0,2,95,Wolves,8,10,0,0,1
20,Saliba,Arsenal,Defender,0,63,1350,1,1,0.71,0.51,6,14,11.870000000000001,0,5,294,19,450,0,0.67,0.09000000000000002,1,6,3.7100000000000013,0,1,82,Luton,7,10,0,0,1
20,Saliba,Arsenal,Defender,0,65,1440,1,1,1.0699999999999998,0.52,6,15,12.38,0,5,305,19,450,0,1.01,0.09000000000000002,1,6,3.1300000000000017,0,1,82,AstonVilla,9,4,0,0,2
20,Saliba,Arsenal,Defender,0,72,1530,1,1,1.0699999999999998,0.53,7,15,13.07,0,6,334,17,450,0,0.37,0.07000000000000002,2,5,3.520000000000002,0,1,84,Brighton,8,9,0,0,7
20,Saliba,Arsenal,Defender,0,74,1620,1,1,1.0699999999999998,0.53,7,16,14.02,0,6,349,13,450,0,0.36,0.04000000000000002,1,6,3.360000000000001,0,1,77,Liverpool,9,5,0,0,2
20,Saliba,Arsenal,Defender,0,75,1710,1,1,1.17,0.5700000000000001,7,18,15.5,0,6,365,13,450,0,0.45999999999999996,0.07000000000000002,1,7,4.130000000000002,0,1,85,WestHam,9,6,0,0,1
